antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,rule
"frozenset({'Truffle Burger', 'Club Sandwich'})","frozenset({'Spaghetti Bolognese', 'Iced Latte'})",0.002,0.0025,0.001,0.5,200.0,1.0,0.000995,1.995,0.996993987975952,0.2857142857142857,0.49874686716791977,0.45,"Truffle Burger, Club Sandwich","Spaghetti Bolognese, Iced Latte","Truffle Burger, Club Sandwich → Spaghetti Bolognese, Iced Latte"
"frozenset({'Spaghetti Bolognese', 'Iced Latte'})","frozenset({'Truffle Burger', 'Club Sandwich'})",0.0025,0.002,0.001,0.4,200.0,1.0,0.000995,1.6633333333333333,0.9974937343358394,0.2857142857142857,0.39879759519038077,0.45,"Spaghetti Bolognese, Iced Latte","Truffle Burger, Club Sandwich","Spaghetti Bolognese, Iced Latte → Truffle Burger, Club Sandwich"
"frozenset({'Club Sandwich', 'Iced Latte'})","frozenset({'Truffle Burger', 'Spaghetti Bolognese'})",0.0015,0.0045,0.001,0.6666666666666666,148.14814814814815,1.0,0.00099325,2.9865,0.9947421131697546,0.2,0.6651598861543613,0.4444444444444444,"Club Sandwich, Iced Latte","Truffle Burger, Spaghetti Bolognese","Club Sandwich, Iced Latte → Truffle Burger, Spaghetti Bolognese"
"frozenset({'Truffle Burger', 'Spaghetti Bolognese'})","frozenset({'Club Sandwich', 'Iced Latte'})",0.0045,0.0015,0.001,0.22222222222222224,148.14814814814815,1.0,0.00099325,1.2837857142857143,0.9977398292315418,0.2,0.22105380292661214,0.4444444444444444,"Truffle Burger, Spaghetti Bolognese","Club Sandwich, Iced Latte","Truffle Burger, Spaghetti Bolognese → Club Sandwich, Iced Latte"
"frozenset({'Club Sandwich', 'Spaghetti Bolognese'})","frozenset({'Truffle Burger', 'Iced Latte'})",0.0025,0.004,0.001,0.4,100.0,1.0,0.00099,1.6600000000000001,0.9924812030075186,0.1818181818181818,0.39759036144578314,0.325,"Club Sandwich, Spaghetti Bolognese","Truffle Burger, Iced Latte","Club Sandwich, Spaghetti Bolognese → Truffle Burger, Iced Latte"
"frozenset({'Truffle Burger', 'Iced Latte'})","frozenset({'Club Sandwich', 'Spaghetti Bolognese'})",0.004,0.0025,0.001,0.25,100.0,1.0,0.00099,1.33,0.9939759036144579,0.1818181818181818,0.24812030075187969,0.325,"Truffle Burger, Iced Latte","Club Sandwich, Spaghetti Bolognese","Truffle Burger, Iced Latte → Club Sandwich, Spaghetti Bolognese"
"frozenset({'Truffle Burger', 'Club Sandwich'})","frozenset({'Cheese Shawarma', 'Spaghetti Bolognese'})",0.002,0.0055,0.001,0.5,90.90909090909092,1.0,0.000989,1.989,0.9909819639278559,0.15384615384615385,0.49723479135243837,0.34090909090909094,"Truffle Burger, Club Sandwich","Cheese Shawarma, Spaghetti Bolognese","Truffle Burger, Club Sandwich → Cheese Shawarma, Spaghetti Bolognese"
"frozenset({'Cheese Shawarma', 'Spaghetti Bolognese'})","frozenset({'Truffle Burger', 'Club Sandwich'})",0.0055,0.002,0.001,0.18181818181818182,90.9090909090909,1.0,0.000989,1.2197777777777778,0.9944695827048767,0.15384615384615385,0.18017853889597377,0.34090909090909094,"Cheese Shawarma, Spaghetti Bolognese","Truffle Burger, Club Sandwich","Cheese Shawarma, Spaghetti Bolognese → Truffle Burger, Club Sandwich"
"frozenset({'Club Sandwich', 'Cheese Shawarma'})","frozenset({'Truffle Burger', 'Spaghetti Bolognese'})",0.0025,0.0045,0.001,0.4,88.8888888888889,1.0,0.00098875,1.659166666666667,0.9912280701754386,0.16666666666666669,0.39728779507785034,0.3111111111111111,"Club Sandwich, Cheese Shawarma","Truffle Burger, Spaghetti Bolognese","Club Sandwich, Cheese Shawarma → Truffle Burger, Spaghetti Bolognese"
"frozenset({'Truffle Burger', 'Spaghetti Bolognese'})","frozenset({'Club Sandwich', 'Cheese Shawarma'})",0.0045,0.0025,0.001,0.22222222222222224,88.8888888888889,1.0,0.00098875,1.2825,0.9932194876946258,0.16666666666666669,0.2202729044834308,0.3111111111111111,"Truffle Burger, Spaghetti Bolognese","Club Sandwich, Cheese Shawarma","Truffle Burger, Spaghetti Bolognese → Club Sandwich, Cheese Shawarma"
"frozenset({'Club Sandwich', 'Spaghetti Bolognese'})","frozenset({'Truffle Burger', 'Cheese Shawarma'})",0.0025,0.005,0.001,0.4,80.0,1.0,0.0009875,1.6583333333333334,0.9899749373433584,0.15384615384615385,0.3969849246231156,0.30000000000000004,"Club Sandwich, Spaghetti Bolognese","Truffle Burger, Cheese Shawarma","Club Sandwich, Spaghetti Bolognese → Truffle Burger, Cheese Shawarma"
"frozenset({'Truffle Burger', 'Cheese Shawarma'})","frozenset({'Club Sandwich', 'Spaghetti Bolognese'})",0.005,0.0025,0.001,0.2,80.0,1.0,0.0009875,1.246875,0.9924623115577891,0.15384615384615385,0.19799498746867167,0.30000000000000004,"Truffle Burger, Cheese Shawarma","Club Sandwich, Spaghetti Bolognese","Truffle Burger, Cheese Shawarma → Club Sandwich, Spaghetti Bolognese"
"frozenset({'Waffles & Ice Cream', 'California Roll (8Pcs)'})",frozenset({'Sashimi Platter (12Pcs)'}),0.001,0.0245,0.001,1.0,40.816326530612244,1.0,0.0009755,inf,0.9764764764764764,0.04081632653061224,1.0,0.5204081632653061,"Waffles & Ice Cream, California Roll (8Pcs)",Sashimi Platter (12Pcs),"Waffles & Ice Cream, California Roll (8Pcs) → Sashimi Platter (12Pcs)"
"frozenset({'Tiramisu', 'Pasta Carbonara'})",frozenset({'Egg & Avocado Toast'}),0.001,0.0255,0.001,1.0,39.21568627450981,1.0,0.0009745,inf,0.9754754754754754,0.03921568627450981,1.0,0.5196078431372549,"Tiramisu, Pasta Carbonara",Egg & Avocado Toast,"Tiramisu, Pasta Carbonara → Egg & Avocado Toast"
"frozenset({'Mango Smoothie', 'Penne Arrabiata'})",frozenset({'California Roll (8Pcs)'}),0.001,0.028,0.001,1.0,35.714285714285715,1.0,0.000972,inf,0.9729729729729729,0.03571428571428571,1.0,0.5178571428571429,"Mango Smoothie, Penne Arrabiata",California Roll (8Pcs),"Mango Smoothie, Penne Arrabiata → California Roll (8Pcs)"
"frozenset({'Sashimi Platter (12Pcs)', 'Waffles & Ice Cream'})",frozenset({'California Roll (8Pcs)'}),0.001,0.028,0.001,1.0,35.714285714285715,1.0,0.000972,inf,0.9729729729729729,0.03571428571428571,1.0,0.5178571428571429,"Sashimi Platter (12Pcs), Waffles & Ice Cream",California Roll (8Pcs),"Sashimi Platter (12Pcs), Waffles & Ice Cream → California Roll (8Pcs)"
"frozenset({'Spaghetti Bolognese', 'Truffle Burger', 'Iced Latte'})",frozenset({'Club Sandwich'}),0.001,0.0325,0.001,1.0,30.769230769230766,1.0,0.0009675,inf,0.9684684684684685,0.030769230769230767,1.0,0.5153846153846153,"Spaghetti Bolognese, Truffle Burger, Iced Latte",Club Sandwich,"Spaghetti Bolognese, Truffle Burger, Iced Latte → Club Sandwich"
"frozenset({'Sashimi Platter (12Pcs)', 'Blt Sandwich'})",frozenset({'Dragon Roll (8Pcs)'}),0.001,0.0325,0.001,1.0,30.769230769230766,1.0,0.0009675,inf,0.9684684684684685,0.030769230769230767,1.0,0.5153846153846153,"Sashimi Platter (12Pcs), Blt Sandwich",Dragon Roll (8Pcs),"Sashimi Platter (12Pcs), Blt Sandwich → Dragon Roll (8Pcs)"
"frozenset({'Grilled Chicken Salad', 'Truffle Burger'})",frozenset({'Four Cheese Pizza'}),0.001,0.0345,0.001,1.0,28.98550724637681,1.0,0.0009655,inf,0.9664664664664664,0.02898550724637681,1.0,0.5144927536231884,"Grilled Chicken Salad, Truffle Burger",Four Cheese Pizza,"Grilled Chicken Salad, Truffle Burger → Four Cheese Pizza"
"frozenset({'Fattoush Salad', 'Iced Latte'})",frozenset({'Veggie Garden Burger'}),0.002,0.019,0.001,0.5,26.315789473684212,1.0,0.000962,1.962,0.9639278557114228,0.05000000000000001,0.49031600407747195,0.27631578947368424,"Fattoush Salad, Iced Latte",Veggie Garden Burger,"Fattoush Salad, Iced Latte → Veggie Garden Burger"
